fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,q_max,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,np_001,ta_min,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,q_mar,inso,p_sol,evap,nw_55,w_racha,nw_91,w_rec,ts_20,ts_10,ts_50,glo
1963-10,2462,31.4(29),4.0,68.0,0.0,3.0,823.1(11),816.8,4.9,20.4(09),10.2,0.0,0.0,10.0,2.0,17.0,4.0,-2.5(03),80.0,1.0,0.0,65.0,3.0,0.0,8.0,3.0,2.4,2.0,9.6,14.3,3.0,796.6(31),3.0,1020.3,7.6,68.0,1229.0,,,,,,,,
1963-11,2462,72.5(13),25.0,90.0,0.0,23.0,823.8(21),808.6,-1.1,15.4(19),5.4,0.0,0.0,2.0,12.0,3.0,21.0,-7.8(30),66.0,5.0,2.0,411.8,10.0,0.0,14.0,19.0,-1.2,14.0,2.0,5.1,25.0,792.6(05),20.0,1015.9,1.4,14.0,190.0,,,,,,,,
1963-12,2462,50.8(06),19.0,89.0,0.0,23.0,822.7(27),804.8,-6.0,7.6(28),0.0,0.0,0.0,2.0,10.0,10.0,18.0,-14.3(22),48.0,1.0,6.0,209.8,1.0,0.0,12.0,31.0,-8.1,17.0,-2.9,0.2,18.0,786.2(20),15.0,1015.1,2.5,27.0,172.0,,,,,,,,
1963-13,2462,83.6(01/ene),165.0,79.0,10.0,173.0,824.3(27/sep),810.5,1.3,27.0(10/ago),16.3,0.0,0.0,52.0,53.0,148.0,166.0,-15.4(02/feb),72.0,11.0,61.0,1703.7,61.0,13.0,10.0,166.0,-11.0,105.0,5.0,8.8,118.0,786.2(20/dic),147.0,1016.1,5.7,43.0,,,,,,,,,
1964-1,2462,12.3(13),5.0,74.0,0.0,7.0,823.5(23),815.8,-4.5,8.6(17),1.4,0.0,0.0,10.0,1.0,16.0,3.0,-8.7(28),42.0,0.0,1.0,14.7,1.0,0.0,9.0,30.0,-4.6,5.0,-1.0,2.6,5.0,805.1(13),3.0,1027.9,5.6,58.0,,,,,,,,,
1964-2,2462,63.2(23),15.0,82.0,0.0,16.0,822.2(01),808.6,-3.2,11.4(02),3.1,0.0,0.0,9.0,9.0,5.0,17.0,-7.8(09),52.0,1.0,0.0,216.5,4.0,0.0,12.0,26.0,-2.4,13.0,-0.1,3.1,16.0,791.3(14),17.0,1017.8,3.8,36.0,181.0,,,,,,,,
1964-3,2462,50.7(11),26.0,89.0,0.0,14.0,815.7(23),804.9,-4.8,8.6(23),2.2,0.0,0.0,1.0,8.0,4.0,21.0,-14.7(08),53.0,1.0,7.0,223.7,6.0,0.0,10.0,28.0,-6.0,17.0,-1.4,1.9,17.0,791.1(11),17.0,1014.0,2.7,22.0,27.0,,,,,,,,
1964-4,2462,19.5(16),13.0,82.0,0.0,10.0,822.3(29),809.3,-0.8,17.0(28),6.6,0.0,0.0,0.0,2.0,17.0,13.0,-8.2(07),61.0,0.0,1.0,93.6,2.0,1.0,9.0,15.0,-2.8,13.0,2.7,6.1,10.0,793.0(01),11.0,1016.6,5.4,40.0,512.0,,,,,,,,
1964-5,2462,41.8(31),5.0,66.0,2.0,3.0,821.3(14),814.8,6.9,21.4(17),13.3,0.0,0.0,2.0,2.0,24.0,8.0,-1.2(24),91.0,1.0,1.0,80.5,8.0,4.0,10.0,2.0,6.4,1.0,11.4,15.9,2.0,797.5(31),8.0,1015.8,8.9,62.0,1706.0,,,,,,,,
1964-6,2462,40.9(21),12.0,71.0,3.0,7.0,820.7(07),814.0,6.7,24.8(10),14.0,0.0,0.0,4.0,6.0,14.0,13.0,-1.0(01),95.0,2.0,1.0,163.5,11.0,7.0,9.0,2.0,6.2,0.0,11.1,15.5,5.0,797.5(01),12.0,1015.0,7.8,52.0,1413.0,,,,,,,,
